id,type,address,number,postal_code,municipality,province,location,public,available,hours,Latitude,Longitude
9483.0,,Rue des Gailettes,1.0,4651.0,Battice,Liège,,,,,50.6474662,5.8207169
9484.0,,Rue cour lemaire ,5.0,4651.0,Battice,Liège,,,,,50.6542014,5.7916923
9485.0,,Kelderveld,17.0,2500.0,Lier,Antwerpen,,,,,51.1460655,4.5463743
9486.0,,Slachthuisstraat ,14.0,9900.0,Eeklo,Oost-Vlaanderen,,,,,51.1812671,3.5483079
9487.0,,Diestersteenweg ,71.0,3583.0,Paal,Limburg,,,,,50.9449378,5.264452599999999
9488.0,,Technologielaan ,13.0,3050.0,Oud-Heverlee,Vlaams-Brabant,,,,,50.8533608,4.7285531
9489.0,,Maatheide,94.0,3920.0,Lommel,Limburg,,,,,51.2430063,5.2645516
9492.0,,Spikdorenveld,22.0,2260.0,Westerlo,Antwerpen,,,,,51.086875,4.9075164
9493.0,,Gebroeders de smetstraat,1.0,9000.0,Gent,Oost-Vlaanderen,,,,,51.0602518,3.7099343
9494.0,,Heikant,27.0,9190.0,Stekene,Oost-Vlaanderen,,,,,51.2129845,4.0287967
9495.0,,Bogaardestraat,228.0,9990.0,Maldegem,Oost-Vlaanderen,,,,,51.1990989,3.4316565
9496.0,,Gentse steenweg,136.0,9160.0,Lokeren,Oost-Vlaanderen,,,,,51.1143842,3.9533862
9497.0,,Justitieplein ,1.0,9200.0,Dendermonde,Oost-Vlaanderen,,,,,51.0315137,4.0994027
9498.0,,Industrielaan,26.0,9900.0,Eeklo,Oost-Vlaanderen,,,,,51.1825128,3.541189
9499.0,,Gentse steenweg,136.0,9160.0,Lokeren,Oost-Vlaanderen,,,,,51.1143842,3.9533862
9500.0,,Grote Markt ,26.0,9300.0,Aalst,Oost-Vlaanderen,,,,,50.9384399,4.0381335
9501.0,,Walgoedstraat ,8.0,9140.0,Temse,Oost-Vlaanderen,,,,,51.1397674,4.187093000000001
9502.0,,Serskampsteenweg,52.0,9230.0,Wetteren,Oost-Vlaanderen,,,,,51.0009924,3.8908011
9503.0,,Oostendse Steenweg,11.0,8377.0,Meetkerke,West-Vlaanderen,,,,,51.2408146,3.1578333
9504.0,,Z.I Des Hauts Sarts,,4040.0,Herstal,Liège,,,,,50.6954403,5.6164976
9505.0,,Ducpetiauxlaan,106.0,1060.0,Brussel,Bruxelles-Brussel,,,,,50.8223102,4.3468026
9506.0,,Steenweg op Wortel,1.0,2330.0,Merksplas,Antwerpen,,,,,51.35592639999999,4.8295653
9507.0,,Maria Theresiastraat,74.0,3000.0,Leuven,Vlaams-Brabant,,,,,50.8784211,4.712977
9508.0,,St-Jacobstraat,26.0,9200.0,Dendermonde,Oost-Vlaanderen,,,,,51.02964679999999,4.1052595
9509.0,,Legeweg,200.0,8200.0,Sint-Andries,West-Vlaanderen,,,,,51.205244,3.174845
